date,score,phase,n_indicators
2019-11-14,57.0,2,14
2019-11-15,57.0,2,14
2019-11-18,57.0,2,14
2019-11-19,57.0,2,14
2019-11-20,57.0,2,14
2019-11-21,57.0,2,14
2019-11-22,57.0,2,14
2019-11-25,57.0,2,14
2019-11-26,57.0,2,14
2019-11-27,57.0,2,14
2019-11-29,57.0,2,14
2019-12-02,57.0,2,14
2019-12-03,57.0,2,14
2019-12-04,57.0,2,14
2019-12-05,57.0,2,14
2019-12-06,57.0,2,14
2019-12-09,57.0,2,14
2019-12-10,57.0,2,14
2019-12-11,57.0,2,14
2019-12-12,57.0,2,14
2019-12-13,57.0,2,14
2019-12-16,57.0,2,14
2019-12-17,57.0,2,14
2019-12-18,57.0,2,14
2019-12-19,57.0,2,14
2019-12-20,57.0,2,14
2019-12-23,57.0,2,14
2019-12-24,57.0,2,14
2019-12-26,57.0,2,14
2019-12-27,57.0,2,14
2019-12-30,57.0,2,14
2019-12-31,57.0,2,14
2020-01-02,57.0,2,14
2020-01-03,57.0,2,14
2020-01-06,57.0,2,14
2020-01-07,57.0,2,14
2020-01-08,57.0,2,14
2020-01-09,57.0,2,14
2020-01-10,57.0,2,14
2020-01-13,57.0,2,14
2020-01-14,49.0,2,14
2020-01-15,49.0,2,14
2020-01-16,49.0,2,14
2020-01-17,49.0,2,14
2020-01-21,49.0,2,14
2020-01-22,49.0,2,14
2020-01-23,49.0,2,14
2020-01-24,49.0,2,14
2020-01-27,49.0,2,14
2020-01-28,49.0,2,14
2020-01-29,49.0,2,14
2020-01-30,49.0,2,14
2020-01-31,49.0,2,14
2020-02-03,45.0,2,14
2020-02-04,45.0,2,14
2020-02-05,45.0,2,14
2020-02-06,45.0,2,14
2020-02-07,38.0,2,14
2020-02-10,38.0,2,14
2020-02-11,38.0,2,14
2020-02-12,38.0,2,14
2020-02-13,38.0,2,14
2020-02-14,38.0,2,14
2020-02-18,38.0,2,14
2020-02-19,38.0,2,14
2020-02-20,38.0,2,14
2020-02-21,38.0,2,14
2020-02-24,45.0,2,14
2020-02-25,45.0,2,14
2020-02-26,52.0,2,14
2020-02-27,60.0,3,14
2020-02-28,65.25,3,14
2020-03-02,69.25,3,14
2020-03-03,77.25,3,14
2020-03-04,71.5,3,14
2020-03-05,72.5,3,14
2020-03-06,83.0,3,14
2020-03-09,133.0,4,14
2020-03-10,96.0,3,14
2020-03-11,112.0,3,14
2020-03-12,142.0,4,14
2020-03-13,126.0,4,14
2020-03-16,136.0,4,14
2020-03-17,120.0,4,14
2020-03-18,120.0,4,14
2020-03-19,126.0,4,14
2020-03-20,126.0,4,14
2020-03-23,138.0,4,14
2020-03-24,120.0,4,14
2020-03-25,110.75,3,14
2020-03-26,110.75,3,14
2020-03-27,110.75,3,14
2020-03-30,110.75,3,14
2020-03-31,110.75,3,14
2020-04-01,104.75,3,14
2020-04-02,104.75,3,14
2020-04-03,100.75,3,14
2020-04-06,80.75,3,14
2020-04-07,88.75,3,14
2020-04-08,80.75,3,14
2020-04-09,80.75,3,14
2020-04-13,88.75,3,14
2020-04-14,88.75,3,14
2020-04-15,88.75,3,14
2020-04-16,88.75,3,14
2020-04-17,88.75,3,14
2020-04-20,88.75,3,14
2020-04-21,88.75,3,14
2020-04-22,83.5,3,14
2020-04-23,75.5,3,14
2020-04-24,75.5,3,14
2020-04-27,67.5,3,14
2020-04-28,67.5,3,14
2020-04-29,60.5,3,14
2020-04-30,67.5,3,14
2020-05-01,68.5,3,14
2020-05-04,68.5,3,14
2020-05-05,60.5,3,14
2020-05-06,60.5,3,14
2020-05-07,60.5,3,14
2020-05-08,60.5,3,14
2020-05-11,67.5,3,14
2020-05-12,60.5,3,14
2020-05-13,68.5,3,14
2020-05-14,60.5,3,14
2020-05-15,60.5,3,14
2020-05-18,60.5,3,14
2020-05-19,60.5,3,14
2020-05-20,60.5,3,14
2020-05-21,60.5,3,14
2020-05-22,60.5,3,14
2020-05-26,60.5,3,14
2020-05-27,54.5,2,14
2020-05-28,60.5,3,14
2020-05-29,60.5,3,14
2020-06-01,60.5,3,14
2020-06-02,60.5,3,14
2020-06-03,54.5,2,14
2020-06-04,54.5,2,14
2020-06-05,47.5,2,14
2020-06-08,49.25,2,14
2020-06-09,54.5,2,14
2020-06-10,54.5,2,14
2020-06-11,68.5,3,14
2020-06-12,68.5,3,14
2020-06-15,60.5,3,14
2020-06-16,54.5,2,14
2020-06-17,54.5,2,14
2020-06-18,54.5,2,14
2020-06-19,68.5,3,14
2020-06-22,60.5,3,14
2020-06-23,60.5,3,14
2020-06-24,65.75,3,14
2020-06-25,65.75,3,14
2020-06-26,65.75,3,14
2020-06-29,65.75,3,14
2020-06-30,65.75,3,14
2020-07-01,65.75,3,14
2020-07-02,65.75,3,14
2020-07-06,65.75,3,14
2020-07-07,65.75,3,14
2020-07-08,65.75,3,14
2020-07-09,65.75,3,14
2020-07-10,65.75,3,14
2020-07-13,65.75,3,14
2020-07-14,65.75,3,14
2020-07-15,65.75,3,14
2020-07-16,65.75,3,14
2020-07-17,65.75,3,14
2020-07-20,58.75,2,14
2020-07-21,58.75,2,14
2020-07-22,73.75,3,14
2020-07-23,80.75,3,14
2020-07-24,80.75,3,14
2020-07-27,73.75,3,14
2020-07-28,80.75,3,14
2020-07-29,73.75,3,14
2020-07-30,73.75,3,14
2020-07-31,73.75,3,14
2020-08-03,73.75,3,14
2020-08-04,73.75,3,14
2020-08-05,73.75,3,14
2020-08-06,73.75,3,14
2020-08-07,73.75,3,14
2020-08-10,67.75,3,14
2020-08-11,67.75,3,14
2020-08-12,67.75,3,14
2020-08-13,67.75,3,14
2020-08-14,67.75,3,14
2020-08-17,73.75,3,14
2020-08-18,73.75,3,14
2020-08-19,73.75,3,14
2020-08-20,73.75,3,14
2020-08-21,73.75,3,14
2020-08-24,73.75,3,14
2020-08-25,73.75,3,14
2020-08-26,73.75,3,14
2020-08-27,73.75,3,14
2020-08-28,73.75,3,14
2020-08-31,80.75,3,14
2020-09-01,72.75,3,14
2020-09-02,72.75,3,14
2020-09-03,79.75,3,14
2020-09-04,72.75,3,14
2020-09-08,79.75,3,14
2020-09-09,79.75,3,14
